"source"	"country"	"un_country"	"macro_region"	"meso_region"	"development_level"	"gdp_per_capita"	"gdp_volume"	"hdi"	"ECI"	"year"	"events"
"1"	"TED"	"china"	"china"	"Asia"	"Eastern Asia"	"Developing economies"	16782	23266768925142	0.758	0.691307	2009	72377
"2"	"TED"	"united states"	"united states"	"Americas"	"Northern America"	"Developed economies"	59928	19485393853000	0.92	1.75541	2009	1976947
"3"	"TED"	"india"	"india"	"Asia"	"Southern Asia"	"Developing economies"	7169	9596835216103	0.647	0.359807	2009	60724
"4"	"TED"	"japan"	"japan"	"Asia"	"Eastern Asia"	"Developed economies"	41959	5319800458212	0.915	2.30938	2009	28989
"5"	"TED"	"germany"	"germany"	"Europe"	"Western Europe"	"Developed economies"	52574	4345630753850	0.939	2.07537	2010	83015
"6"	"TED"	"russia"	"russia"	"Europe"	"Eastern Europe"	"Transition economies"	25767	3783634636967	0.824	0.852045	2009	739574
"7"	"TED"	"brazil"	"brazil"	"Americas"	"South America"	"Developing economies"	15662	3255144799735	0.761	0.608252	2009	50838
"8"	"TED"	"indonesia"	"indonesia"	"Asia"	"South-eastern Asia"	"Developing economies"	12279	3249635337374	0.707	-0.305644	2010	14141
"9"	"TED"	"united kingdom"	"united kingdom"	"Europe"	"Northern Europe"	"Developed economies"	44896	2965796011802	0.92	1.53259	2009	292591
"10"	"TED"	"france"	"france"	"Europe"	"Western Europe"	"Developed economies"	44256	2959179910621	0.891	1.38964	2010	86499
"11"	"TED"	"italy"	"italy"	"Europe"	"Southern Europe"	"Developed economies"	40981	2480871919343	0.883	1.11743	2010	112473
"12"	"TED"	"mexico"	"mexico"	"Americas"	"Northern America"	"Developing economies"	19432	2424699686101	0.767	1.09955	2010	31082
"13"	"TED"	"turkey"	"turkey"	"Asia"	"Western Asia"	"Developing economies"	27879	2261007955426	0.807	0.175726	2010	20396
"14"	"TED"	"south korea"	"south korea"	"Asia"	"Eastern Asia"	"Developing economies"	38824	1998129726322	0.906	1.77613	2009	26473
"15"	"TED"	"spain"	"spain"	"Europe"	"Southern Europe"	"Developed economies"	39037	1818877781763	0.893	0.777415	2010	74926
"16"	"TED"	"saudi arabia"	"saudi arabia"	"Asia"	"Western Asia"	"Developing economies"	53693	1777204555788	0.857	0.747155	2009	2479
"17"	"TED"	"canada"	"canada"	"Americas"	"Northern America"	"Developed economies"	46723	1707282552959	0.922	1.05671	2009	148221
"18"	"TED"	"iran"	"iran"	"Asia"	"Southern Asia"	"Developing economies"	21011	1695063643475	0.797	-0.158038	2014	1006
"19"	"TED"	"thailand"	"thailand"	"Asia"	"South-eastern Asia"	"Developing economies"	17917	1240047344586	0.765	0.711704	2011	13899
"20"	"TED"	"australia"	"australia"	"Oceania"	"Oceania"	"Developed economies"	49654	1221573766769	0.938	0.0863035	2009	76085
"21"	"TED"	"poland"	"poland"	"Europe"	"Eastern Europe"	"Developed economies"	29931	1136624204731	0.872	1.09432	2010	40874
"22"	"TED"	"egypt"	"egypt"	"Africa"	"Northern Africa"	"Developing economies"	11742	1132433757642	0.7	-0.319753	2011	10583
"23"	"TED"	"nigeria"	"nigeria"	"Africa"	"Western Africa"	"Developing economies"	5888	1123780567076	0.534	-1.90268	2012	1712
"24"	"TED"	"pakistan"	"pakistan"	"Asia"	"Southern Asia"	"Developing economies"	5249	1091292607466	0.56	-0.859978	2010	2395
"25"	"TED"	"netherlands"	"netherlands"	"Europe"	"Western Europe"	"Developed economies"	54503	933708429416	0.934	1.30343	2009	55721
"26"	"TED"	"malaysia"	"malaysia"	"Asia"	"South-eastern Asia"	"Developing economies"	30004	933277705782	0.804	0.971372	2010	12422
"27"	"TED"	"argentina"	"argentina"	"Americas"	"South America"	"Developing economies"	20843	918032825601	0.83	0.232335	2010	29778
"28"	"TED"	"philippines"	"philippines"	"Asia"	"South-eastern Asia"	"Developing economies"	8340	877179868894	0.712	0.381087	2009	10258
"29"	"TED"	"south africa"	"south africa"	"Africa"	"Southern Africa"	"Developing economies"	13464	767462904046	0.705	0.268797	2009	14073
"30"	"TED"	"colombia"	"colombia"	"Americas"	"South America"	"Developing economies"	14507	709420539907	0.761	0.144356	2010	23675
"31"	"TED"	"united arab emirates"	"united arab emirates"	"Asia"	"Western Asia"	"Developing economies"	73356	695942096146	0.866	0.128674	2009	21991
"32"	"TED"	"iraq"	"iraq"	"Asia"	"Western Asia"	"Developing economies"	17415	653999308119	0.689	NA	2011	420
"33"	"TED"	"vietnam"	"vietnam"	"Asia"	"South-eastern Asia"	"Developing economies"	6858	648742261440	0.693	-0.623084	2013	8808
"34"	"TED"	"bangladesh"	"bangladesh"	"Asia"	"Southern Asia"	"Developing economies"	3998	638430000421	0.614	-1.71442	2014	1662
"35"	"TED"	"algeria"	"algeria"	"Africa"	"Northern Africa"	"Developing economies"	15266	631867579050	0.759	-0.811671	2011	448
"36"	"TED"	"belgium"	"belgium"	"Europe"	"Western Europe"	"Developed economies"	49412	562067818085	0.919	0.90581	2009	24697
"37"	"TED"	"switzerland"	"switzerland"	"Europe"	"Western Europe"	"Developed economies"	66300	560353822654	0.946	2.24386	2010	26584
"38"	"TED"	"venezuela"	"venezuela"	"Americas"	"South America"	"Developing economies"	18102	543891085574	0.726	-0.655229	2010	1605
"39"	"TED"	"singapore"	"singapore"	"Asia"	"South-eastern Asia"	"Developing economies"	96553	541877633642	0.935	1.86534	2009	25785
"40"	"TED"	"romania"	"romania"	"Europe"	"Eastern Europe"	"Developed economies"	26596	520940817179	0.816	0.713669	2009	12538
"41"	"TED"	"sweden"	"sweden"	"Europe"	"Northern Europe"	"Developed economies"	51405	517013807222	0.937	1.80773	2009	21646
"42"	"TED"	"kazakhstan"	"kazakhstan"	"Asia"	"Central Asia"	"Transition economies"	26491	477835906053	0.817	0.0883664	2013	2611
"43"	"TED"	"austria"	"austria"	"Europe"	"Western Europe"	"Developed economies"	53879	474006678909	0.914	1.62894	2010	12371
"44"	"TED"	"chile"	"chile"	"Americas"	"South America"	"Developing economies"	24249	447887103479	0.847	0.0443139	2009	11437
"45"	"TED"	"peru"	"peru"	"Americas"	"South America"	"Developing economies"	13772	433059982554	0.759	-0.598962	2009	3655
"46"	"TED"	"czechia"	"the czech republic"	"Europe"	"Eastern Europe"	"Developed economies"	38020	402796088544	0.891	1.6431	2012	7918
"47"	"TED"	"ireland"	"ireland"	"Europe"	"Northern Europe"	"Developed economies"	77596	373035786125	0.942	1.40023	2009	22008
"48"	"TED"	"ukraine"	"ukraine"	"Europe"	"Eastern Europe"	"Transition economies"	8694	369355686788	0.75	0.556886	2009	31710
"49"	"TED"	"qatar"	"qatar"	"Asia"	"Western Asia"	"Developing economies"	124609	339525961614	0.848	0.396207	2011	2734
"50"	"TED"	"israel"	"israel"	"Asia"	"Western Asia"	"Developed economies"	38868	338666467124	0.906	1.3146	2010	14604
"51"	"TED"	"portugal"	"portugal"	"Europe"	"Southern Europe"	"Developed economies"	32554	335319032432	0.85	0.258555	2010	25778
"52"	"TED"	"myanmar (burma)"	"myanmar (burma)"	"Asia"	"South-eastern Asia"	"Developing economies"	6172	329498250575	0.584	-1.27821	2010	123
"53"	"TED"	"norway"	"norway"	"Europe"	"Northern Europe"	"Developed economies"	62183	328136868121	0.954	1.09466	2011	8708
"54"	"TED"	"denmark"	"denmark"	"Europe"	"Northern Europe"	"Developed economies"	54356	313363852996	0.93	1.1577	2009	16939
"55"	"TED"	"greece"	"greece"	"Europe"	"Southern Europe"	"Developed economies"	28580	307366516012	0.872	0.125884	2009	10248
"56"	"TED"	"morocco"	"morocco"	"Africa"	"Northern Africa"	"Developing economies"	8261	298504421064	0.676	-0.89235	2011	1123
"57"	"TED"	"kuwait"	"kuwait"	"Asia"	"Western Asia"	"Developing economies"	72622	294560359598	0.808	0.11607	2016	308
"58"	"TED"	"hungary"	"hungary"	"Europe"	"Eastern Europe"	"Developed economies"	28799	281880134196	0.845	1.38444	2010	15691
