"un_country"	"year"	"source"	"n"
"1"	""	2010	"TED"	1
"2"	""	2011	"BEHANCE"	6
"3"	""	2012	"BEHANCE"	5
"4"	""	2013	"BEHANCE"	8
"5"	""	2014	"BEHANCE"	10
"6"	""	2015	"BEHANCE"	9
"7"	""	2015	"MEETUP"	5
"8"	""	2016	"BEHANCE"	22
"9"	""	2016	"MEETUP"	6
"10"	""	2016	"MINCULT"	27
"11"	""	2017	"BEHANCE"	16
"12"	""	2017	"MEETUP"	18
"13"	""	2017	"MINCULT"	20
"14"	""	2017	"TED"	2
"15"	""	2018	"BEHANCE"	8
"16"	""	2018	"MEETUP"	19
"17"	""	2018	"MINCULT"	10
"18"	""	2018	"TED"	1
"19"	""	2019	"MEETUP"	5
"20"	""	2019	"MINCULT"	1
"21"	"afghanistan"	2012	"TED"	1
"22"	"afghanistan"	2013	"EFLUX"	2
"23"	"afghanistan"	2013	"TED"	2
"24"	"afghanistan"	2014	"TED"	1
"25"	"afghanistan"	2015	"TED"	1
"26"	"afghanistan"	2016	"TED"	2
"27"	"afghanistan"	2018	"TED"	2
"28"	"albania"	2010	"EFLUX"	1
"29"	"albania"	2011	"BEHANCE"	3
"30"	"albania"	2011	"TED"	1
"31"	"albania"	2012	"BEHANCE"	8
"32"	"albania"	2013	"BEHANCE"	27
"33"	"albania"	2013	"EFLUX"	1
"34"	"albania"	2013	"TED"	4
"35"	"albania"	2014	"BEHANCE"	24
"36"	"albania"	2014	"TED"	1
"37"	"albania"	2015	"BEHANCE"	12
"38"	"albania"	2015	"EFLUX"	1
"39"	"albania"	2015	"TED"	6
"40"	"albania"	2016	"BEHANCE"	10
"41"	"albania"	2016	"TED"	2
"42"	"albania"	2017	"ART_EDUCATION"	1
"43"	"albania"	2017	"BEHANCE"	14
"44"	"albania"	2017	"TED"	1
"45"	"albania"	2018	"BEHANCE"	29
"46"	"albania"	2019	"BEHANCE"	1
"47"	"algeria"	2010	"BEHANCE"	12
"48"	"algeria"	2010	"TED"	1
"49"	"algeria"	2011	"TED"	2
"50"	"algeria"	2012	"BEHANCE"	14
"51"	"algeria"	2012	"TED"	4
"52"	"algeria"	2013	"BEHANCE"	65
"53"	"algeria"	2013	"TED"	7
"54"	"algeria"	2014	"BEHANCE"	31
"55"	"algeria"	2014	"TED"	2
"56"	"algeria"	2015	"BEHANCE"	28
"57"	"algeria"	2015	"TED"	4
"58"	"algeria"	2016	"BEHANCE"	40
"59"	"algeria"	2016	"TED"	5
"60"	"algeria"	2017	"BEHANCE"	76
"61"	"algeria"	2017	"MEETUP"	25
"62"	"algeria"	2017	"TED"	3
"63"	"algeria"	2018	"BEHANCE"	67
"64"	"algeria"	2018	"EFLUX"	1
"65"	"algeria"	2018	"MEETUP"	41
"66"	"algeria"	2018	"TED"	3
"67"	"algeria"	2019	"BEHANCE"	3
"68"	"algeria"	2019	"MEETUP"	8
"69"	"algeria"	2019	"TED"	6
"70"	"andorra"	2010	"TED"	1
"71"	"andorra"	2011	"MEETUP"	1
"72"	"andorra"	2011	"TED"	3
"73"	"andorra"	2012	"TED"	4
"74"	"andorra"	2013	"BEHANCE"	10
"75"	"andorra"	2013	"TED"	2
"76"	"andorra"	2014	"BEHANCE"	13
"77"	"andorra"	2014	"TED"	1
"78"	"andorra"	2015	"BEHANCE"	38
"79"	"andorra"	2015	"TED"	1
"80"	"andorra"	2016	"BEHANCE"	21
"81"	"andorra"	2016	"TED"	2
"82"	"andorra"	2017	"BEHANCE"	8
"83"	"andorra"	2017	"MEETUP"	1
"84"	"andorra"	2017	"TED"	1
"85"	"andorra"	2018	"BEHANCE"	1
"86"	"angola"	2011	"BEHANCE"	5
"87"	"angola"	2012	"BEHANCE"	3
"88"	"angola"	2012	"TED"	1
"89"	"angola"	2013	"BEHANCE"	5
"90"	"angola"	2013	"TED"	1
"91"	"angola"	2014	"BEHANCE"	3
"92"	"angola"	2014	"TED"	1
"93"	"angola"	2016	"BEHANCE"	1
"94"	"angola"	2016	"TED"	1
"95"	"angola"	2017	"MEETUP"	27
"96"	"angola"	2018	"BEHANCE"	1
"97"	"angola"	2018	"MEETUP"	16
"98"	"angola"	2018	"TED"	1
"99"	"angola"	2019	"TED"	1
"100"	"antigua and barbuda"	2013	"BEHANCE"	7
"101"	"antigua and barbuda"	2015	"BEHANCE"	5
"102"	"antigua and barbuda"	2015	"TED"	1
"103"	"antigua and barbuda"	2017	"MEETUP"	2
"104"	"argentina"	2007	"BEHANCE"	4
"105"	"argentina"	2008	"BEHANCE"	115
"106"	"argentina"	2008	"MEETUP"	1
"107"	"argentina"	2009	"BEHANCE"	410
"108"	"argentina"	2009	"MEETUP"	1
"109"	"argentina"	2009	"TED"	1
"110"	"argentina"	2010	"BEHANCE"	869
"111"	"argentina"	2010	"EFLUX"	7
"112"	"argentina"	2010	"TED"	8
